# IBD cross section (10^-38 cm^2/GeV) #   From Strumia & Vissani astro-ph/0302055v2
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar # 
 

-2.80631  0 0 0 0 0 0 
-2.80401  0 0 0 0 0 0 
-2.80171  0 0 0 0 0 0 
-2.79941  0 0 0 0 0 0 
-2.7971  0 0 0 0 0 0 
-2.7948  0 0 0 0 0 0 
-2.7925  0 0 0 0 0 0 
-2.7902  0 0 0 0 0 0 
-2.7879  0 0 0 0 0 0 
-2.7856  0 0 0 0 0 0 
-2.7833  0 0 0 0 0 0 
-2.781  0 0 0 0 0 0 
-2.7787  0 0 0 0 0 0 
-2.7764  0 0 0 0 0 0 
-2.77409  0 0 0 0 0 0 
-2.77179  0 0 0 0 0 0 
-2.76949  0 0 0 0 0 0 
-2.76719  0 0 0 0 0 0 
-2.76489  0 0 0 0 0 0 
-2.76259  0 0 0 0 0 0 
-2.76029  0 0 0 0 0 0 
-2.75799  0 0 0 0 0 0 
-2.75569  0 0 0 0 0 0 
-2.75338  0 0 0 0 0 0 
-2.75108  0 0 0 0 0 0 
-2.74878  0 0 0 0 0 0 
-2.74648  0 0 0 0 0 0 
-2.74418  0 0 0 0 0 0 
-2.74188  0 0 0 0 0 0 
-2.73958  0 0 0 0 0 0 
-2.73728  0 0 0 0 0 0 
-2.73498  0 0 0 0 0 0 
-2.73268  0 0 0 0 0 0 
-2.73037  0 0 0 0 0 0 
-2.72807  0 0 0 0 0 0 
-2.72577  0 0 0 0 0 0 
-2.72347  0 0 0 0 0 0 
-2.72117  0 0 0 0 0 0 
-2.71887  0 0 0 0.000528002 0 0 
-2.71657  0 0 0 0.000654818 0 0 
-2.71427  0 0 0 0.000779722 0 0 
-2.71197  0 0 0 0.000902466 0 0 
-2.70967  0 0 0 0.0010228 0 0 
-2.70736  0 0 0 0.00114047 0 0 
-2.70506  0 0 0 0.00125522 0 0 
-2.70276  0 0 0 0.00136679 0 0 
-2.70046  0 0 0 0.00147492 0 0 
-2.69816  0 0 0 0.00157935 0 0 
-2.69586  0 0 0 0.0016798 0 0 
-2.69356  0 0 0 0.00177602 0 0 
-2.69126  0 0 0 0.00186797 0 0 
-2.68896  0 0 0 0.0019559 0 0 
-2.68665  0 0 0 0.00204011 0 0 
-2.68435  0 0 0 0.00212088 0 0 
-2.68205  0 0 0 0.00219848 0 0 
-2.67975  0 0 0 0.00227323 0 0 
-2.67745  0 0 0 0.0023454 0 0 
-2.67515  0 0 0 0.0024153 0 0 
-2.67285  0 0 0 0.00248322 0 0 
-2.67055  0 0 0 0.00254948 0 0 
-2.66825  0 0 0 0.00261436 0 0 
-2.66595  0 0 0 0.0026782 0 0 
-2.66364  0 0 0 0.00274129 0 0 
-2.66134  0 0 0 0.00280395 0 0 
-2.65904  0 0 0 0.0028665 0 0 
-2.65674  0 0 0 0.00292928 0 0 
-2.65444  0 0 0 0.00299259 0 0 
-2.65214  0 0 0 0.00305677 0 0 
-2.64984  0 0 0 0.00312216 0 0 
-2.64754  0 0 0 0.00318908 0 0 
-2.64524  0 0 0 0.00325789 0 0 
-2.64294  0 0 0 0.00332882 0 0 
-2.64063  0 0 0 0.00340185 0 0 
-2.63833  0 0 0 0.0034769 0 0 
-2.63603  0 0 0 0.00355389 0 0 
-2.63373  0 0 0 0.00363274 0 0 
-2.63143  0 0 0 0.00371337 0 0 
-2.62913  0 0 0 0.00379571 0 0 
-2.62683  0 0 0 0.00387967 0 0 
-2.62453  0 0 0 0.00396516 0 0 
-2.62223  0 0 0 0.00405211 0 0 
-2.61993  0 0 0 0.00414044 0 0 
-2.61762  0 0 0 0.00423005 0 0 
-2.61532  0 0 0 0.00432086 0 0 
-2.61302  0 0 0 0.00441278 0 0 
-2.61072  0 0 0 0.00450573 0 0 
-2.60842  0 0 0 0.00459963 0 0 
-2.60612  0 0 0 0.00469437 0 0 
-2.60382  0 0 0 0.00478986 0 0 
-2.60152  0 0 0 0.00488603 0 0 
-2.59922  0 0 0 0.00498277 0 0 
-2.59691  0 0 0 0.00508 0 0 
-2.59461  0 0 0 0.00517767 0 0 
-2.59231  0 0 0 0.00527583 0 0 
-2.59001  0 0 0 0.00537449 0 0 
-2.58771  0 0 0 0.00547368 0 0 
-2.58541  0 0 0 0.00557344 0 0 
-2.58311  0 0 0 0.00567379 0 0 
-2.58081  0 0 0 0.00577477 0 0 
-2.57851  0 0 0 0.0058764 0 0 
-2.57621  0 0 0 0.00597873 0 0 
-2.5739  0 0 0 0.00608177 0 0 
-2.5716  0 0 0 0.00618556 0 0 
-2.5693  0 0 0 0.00629013 0 0 
-2.567  0 0 0 0.00639552 0 0 
-2.5647  0 0 0 0.00650176 0 0 
-2.5624  0 0 0 0.00660888 0 0 
-2.5601  0 0 0 0.00671691 0 0 
-2.5578  0 0 0 0.00682589 0 0 
-2.5555  0 0 0 0.00693586 0 0 
-2.5532  0 0 0 0.00704684 0 0 
-2.55089  0 0 0 0.00715887 0 0 
-2.54859  0 0 0 0.00727198 0 0 
-2.54629  0 0 0 0.00738618 0 0 
-2.54399  0 0 0 0.00750145 0 0 
-2.54169  0 0 0 0.00761779 0 0 
-2.53939  0 0 0 0.00773518 0 0 
-2.53709  0 0 0 0.00785361 0 0 
-2.53479  0 0 0 0.00797308 0 0 
-2.53249  0 0 0 0.00809357 0 0 
-2.53018  0 0 0 0.00821508 0 0 
-2.52788  0 0 0 0.00833759 0 0 
-2.52558  0 0 0 0.0084611 0 0 
-2.52328  0 0 0 0.00858558 0 0 
-2.52098  0 0 0 0.00871104 0 0 
-2.51868  0 0 0 0.00883745 0 0 
-2.51638  0 0 0 0.00896482 0 0 
-2.51408  0 0 0 0.00909312 0 0 
-2.51178  0 0 0 0.00922235 0 0 
-2.50948  0 0 0 0.0093525 0 0 
-2.50717  0 0 0 0.00948354 0 0 
-2.50487  0 0 0 0.00961548 0 0 
-2.50257  0 0 0 0.0097483 0 0 
-2.50027  0 0 0 0.00988198 0 0 
-2.49797  0 0 0 0.0100165 0 0 
-2.49567  0 0 0 0.0101518 0 0 
-2.49337  0 0 0 0.0102879 0 0 
-2.49107  0 0 0 0.0104248 0 0 
-2.48877  0 0 0 0.0105624 0 0 
-2.48647  0 0 0 0.0107007 0 0 
-2.48416  0 0 0 0.0108397 0 0 
-2.48186  0 0 0 0.0109793 0 0 
-2.47956  0 0 0 0.0111195 0 0 
-2.47726  0 0 0 0.0112604 0 0 
-2.47496  0 0 0 0.0114018 0 0 
-2.47266  0 0 0 0.0115437 0 0 
-2.47036  0 0 0 0.0116861 0 0 
-2.46806  0 0 0 0.011829 0 0 
-2.46576  0 0 0 0.0119724 0 0 
-2.46346  0 0 0 0.0121162 0 0 
-2.46115  0 0 0 0.0122603 0 0 
-2.45885  0 0 0 0.0124048 0 0 
-2.45655  0 0 0 0.0125496 0 0 
-2.45425  0 0 0 0.0126947 0 0 
-2.45195  0 0 0 0.0128402 0 0 
-2.44965  0 0 0 0.0129861 0 0 
-2.44735  0 0 0 0.0131326 0 0 
-2.44505  0 0 0 0.0132796 0 0 
-2.44275  0 0 0 0.0134274 0 0 
-2.44044  0 0 0 0.0135759 0 0 
-2.43814  0 0 0 0.0137254 0 0 
-2.43584  0 0 0 0.0138758 0 0 
-2.43354  0 0 0 0.0140273 0 0 
-2.43124  0 0 0 0.01418 0 0 
-2.42894  0 0 0 0.0143339 0 0 
-2.42664  0 0 0 0.0144892 0 0 
-2.42434  0 0 0 0.014646 0 0 
-2.42204  0 0 0 0.0148043 0 0 
-2.41974  0 0 0 0.0149643 0 0 
-2.41743  0 0 0 0.0151261 0 0 
-2.41513  0 0 0 0.0152897 0 0 
-2.41283  0 0 0 0.0154553 0 0 
-2.41053  0 0 0 0.0156229 0 0 
-2.40823  0 0 0 0.0157927 0 0 
-2.40593  0 0 0 0.0159648 0 0 
-2.40363  0 0 0 0.0161391 0 0 
-2.40133  0 0 0 0.0163156 0 0 
-2.39903  0 0 0 0.016494 0 0 
-2.39673  0 0 0 0.0166744 0 0 
-2.39442  0 0 0 0.0168565 0 0 
-2.39212  0 0 0 0.0170404 0 0 
-2.38982  0 0 0 0.0172258 0 0 
-2.38752  0 0 0 0.0174128 0 0 
-2.38522  0 0 0 0.0176011 0 0 
-2.38292  0 0 0 0.0177906 0 0 
-2.38062  0 0 0 0.0179813 0 0 
-2.37832  0 0 0 0.018173 0 0 
-2.37602  0 0 0 0.0183656 0 0 
-2.37371  0 0 0 0.018559 0 0 
-2.37141  0 0 0 0.0187531 0 0 
-2.36911  0 0 0 0.0189477 0 0 
-2.36681  0 0 0 0.0191428 0 0 
-2.36451  0 0 0 0.0193382 0 0 
-2.36221  0 0 0 0.0195337 0 0 
-2.35991  0 0 0 0.0197294 0 0 
-2.35761  0 0 0 0.019925 0 0 
-2.35531  0 0 0 0.0201208 0 0 
-2.35301  0 0 0 0.0203168 0 0 
-2.3507  0 0 0 0.020513 0 0 
-2.3484  0 0 0 0.0207095 0 0 
-2.3461  0 0 0 0.0209064 0 0 
-2.3438  0 0 0 0.0211038 0 0 
-2.3415  0 0 0 0.0213017 0 0 
-2.3392  0 0 0 0.0215002 0 0 
-2.3369  0 0 0 0.0216994 0 0 
-2.3346  0 0 0 0.0218993 0 0 
-2.3323  0 0 0 0.0221001 0 0 
-2.33  0 0 0 0.0223018 0 0 
-2.32769  0 0 0 0.0225044 0 0 
-2.32539  0 0 0 0.0227081 0 0 
-2.32309  0 0 0 0.022913 0 0 
-2.32079  0 0 0 0.023119 0 0 
-2.31849  0 0 0 0.0233264 0 0 
-2.31619  0 0 0 0.0235351 0 0 
-2.31389  0 0 0 0.0237453 0 0 
-2.31159  0 0 0 0.023957 0 0 
-2.30929  0 0 0 0.0241703 0 0 
-2.30699  0 0 0 0.0243852 0 0 
-2.30468  0 0 0 0.0246017 0 0 
-2.30238  0 0 0 0.0248197 0 0 
-2.30008  0 0 0 0.0250393 0 0 
-2.29778  0 0 0 0.0252605 0 0 
-2.29548  0 0 0 0.0254833 0 0 
-2.29318  0 0 0 0.0257077 0 0 
-2.29088  0 0 0 0.0259337 0 0 
-2.28858  0 0 0 0.0261612 0 0 
-2.28628  0 0 0 0.0263903 0 0 
-2.28397  0 0 0 0.0266211 0 0 
-2.28167  0 0 0 0.0268534 0 0 
-2.27937  0 0 0 0.0270873 0 0 
-2.27707  0 0 0 0.0273228 0 0 
-2.27477  0 0 0 0.0275599 0 0 
-2.27247  0 0 0 0.0277986 0 0 
-2.27017  0 0 0 0.0280389 0 0 
-2.26787  0 0 0 0.0282808 0 0 
-2.26557  0 0 0 0.0285243 0 0 
-2.26327  0 0 0 0.0287694 0 0 
-2.26096  0 0 0 0.029016 0 0 
-2.25866  0 0 0 0.0292643 0 0 
-2.25636  0 0 0 0.029514 0 0 
-2.25406  0 0 0 0.0297653 0 0 
-2.25176  0 0 0 0.0300181 0 0 
-2.24946  0 0 0 0.0302724 0 0 
-2.24716  0 0 0 0.0305281 0 0 
-2.24486  0 0 0 0.0307853 0 0 
-2.24256  0 0 0 0.0310439 0 0 
-2.24026  0 0 0 0.0313038 0 0 
-2.23795  0 0 0 0.0315652 0 0 
-2.23565  0 0 0 0.0318279 0 0 
-2.23335  0 0 0 0.0320919 0 0 
-2.23105  0 0 0 0.0323572 0 0 
-2.22875  0 0 0 0.0326238 0 0 
-2.22645  0 0 0 0.0328916 0 0 
-2.22415  0 0 0 0.0331606 0 0 
-2.22185  0 0 0 0.0334309 0 0 
-2.21955  0 0 0 0.0337023 0 0 
-2.21724  0 0 0 0.0339749 0 0 
-2.21494  0 0 0 0.0342487 0 0 
-2.21264  0 0 0 0.0345236 0 0 
-2.21034  0 0 0 0.0347997 0 0 
-2.20804  0 0 0 0.035077 0 0 
-2.20574  0 0 0 0.0353556 0 0 
-2.20344  0 0 0 0.0356354 0 0 
-2.20114  0 0 0 0.0359165 0 0 
-2.19884  0 0 0 0.036199 0 0 
-2.19654  0 0 0 0.0364828 0 0 
-2.19423  0 0 0 0.036768 0 0 
-2.19193  0 0 0 0.0370545 0 0 
-2.18963  0 0 0 0.0373425 0 0 
-2.18733  0 0 0 0.037632 0 0 
-2.18503  0 0 0 0.0379229 0 0 
-2.18273  0 0 0 0.0382153 0 0 
-2.18043  0 0 0 0.0385093 0 0 
-2.17813  0 0 0 0.0388048 0 0 
-2.17583  0 0 0 0.0391019 0 0 
-2.17353  0 0 0 0.0394006 0 0 
-2.17122  0 0 0 0.039701 0 0 
-2.16892  0 0 0 0.0400031 0 0 
-2.16662  0 0 0 0.0403068 0 0 
-2.16432  0 0 0 0.0406122 0 0 
-2.16202  0 0 0 0.0409193 0 0 
-2.15972  0 0 0 0.0412281 0 0 
-2.15742  0 0 0 0.0415385 0 0 
-2.15512  0 0 0 0.0418507 0 0 
-2.15282  0 0 0 0.0421645 0 0 
-2.15051  0 0 0 0.0424799 0 0 
-2.14821  0 0 0 0.0427971 0 0 
-2.14591  0 0 0 0.0431159 0 0 
-2.14361  0 0 0 0.0434364 0 0 
-2.14131  0 0 0 0.0437585 0 0 
-2.13901  0 0 0 0.0440823 0 0 
-2.13671  0 0 0 0.0444078 0 0 
-2.13441  0 0 0 0.0447349 0 0 
-2.13211  0 0 0 0.0450636 0 0 
-2.12981  0 0 0 0.0453941 0 0 
-2.1275  0 0 0 0.0457261 0 0 
-2.1252  0 0 0 0.0460598 0 0 
-2.1229  0 0 0 0.0463952 0 0 
-2.1206  0 0 0 0.0467322 0 0 
-2.1183  0 0 0 0.0470708 0 0 
-2.116  0 0 0 0.047411 0 0 
-2.1137  0 0 0 0.0477529 0 0 
-2.1114  0 0 0 0.0480964 0 0 
-2.1091  0 0 0 0.0484415 0 0 
-2.1068  0 0 0 0.0487882 0 0 
-2.10449  0 0 0 0.0491365 0 0 
-2.10219  0 0 0 0.0494865 0 0 
-2.09989  0 0 0 0.049838 0 0 
-2.09759  0 0 0 0.0501911 0 0 
-2.09529  0 0 0 0.0505458 0 0 
-2.09299  0 0 0 0.0509021 0 0 
-2.09069  0 0 0 0.0512599 0 0 
-2.08839  0 0 0 0.0516194 0 0 
-2.08609  0 0 0 0.0519804 0 0 
-2.08379  0 0 0 0.0523429 0 0 
-2.08148  0 0 0 0.052707 0 0 
-2.07918  0 0 0 0.0530727 0 0 
-2.07688  0 0 0 0.0534398 0 0 
-2.07458  0 0 0 0.0538086 0 0 
-2.07228  0 0 0 0.0541789 0 0 
-2.06998  0 0 0 0.0545508 0 0 
-2.06768  0 0 0 0.0549244 0 0 
-2.06538  0 0 0 0.0552998 0 0 
-2.06308  0 0 0 0.055677 0 0 
-2.06077  0 0 0 0.0560561 0 0 
-2.05847  0 0 0 0.0564373 0 0 
-2.05617  0 0 0 0.0568205 0 0 
-2.05387  0 0 0 0.0572058 0 0 
-2.05157  0 0 0 0.0575934 0 0 
-2.04927  0 0 0 0.0579832 0 0 
-2.04697  0 0 0 0.0583753 0 0 
-2.04467  0 0 0 0.0587697 0 0 
-2.04237  0 0 0 0.0591663 0 0 
-2.04007  0 0 0 0.0595651 0 0 
-2.03776  0 0 0 0.0599662 0 0 
-2.03546  0 0 0 0.0603694 0 0 
-2.03316  0 0 0 0.0607748 0 0 
-2.03086  0 0 0 0.0611824 0 0 
-2.02856  0 0 0 0.0615922 0 0 
-2.02626  0 0 0 0.062004 0 0 
-2.02396  0 0 0 0.062418 0 0 
-2.02166  0 0 0 0.062834 0 0 
-2.01936  0 0 0 0.0632522 0 0 
-2.01706  0 0 0 0.0636724 0 0 
-2.01475  0 0 0 0.0640946 0 0 
-2.01245  0 0 0 0.0645188 0 0 
-2.01015  0 0 0 0.0649451 0 0 
-2.00785  0 0 0 0.0653733 0 0 
-2.00555  0 0 0 0.0658035 0 0 
-2.00325  0 0 0 0.0662357 0 0 
-2.00095  0 0 0 0.0666697 0 0 
-1.99865  0 0 0 0.0671054 0 0 
-1.99635  0 0 0 0.0675427 0 0 
-1.99404  0 0 0 0.0679814 0 0 
-1.99174  0 0 0 0.0684214 0 0 
-1.98944  0 0 0 0.0688625 0 0 
-1.98714  0 0 0 0.0693045 0 0 
-1.98484  0 0 0 0.0697473 0 0 
-1.98254  0 0 0 0.0701907 0 0 
-1.98024  0 0 0 0.0706346 0 0 
-1.97794  0 0 0 0.0710787 0 0 
-1.97564  0 0 0 0.071523 0 0 
-1.97334  0 0 0 0.0719673 0 0 
-1.97103  0 0 0 0.0724113 0 0 
-1.96873  0 0 0 0.072855 0 0 
-1.96643  0 0 0 0.073298 0 0 
-1.96413  0 0 0 0.0737404 0 0 
-1.96183  0 0 0 0.0741818 0 0 
-1.95953  0 0 0 0.0746221 0 0 
-1.95723  0 0 0 0.0750611 0 0 
-1.95493  0 0 0 0.0754987 0 0 
-1.95263  0 0 0 0.075935 0 0 
-1.95033  0 0 0 0.0763706 0 0 
-1.94802  0 0 0 0.0768059 0 0 
-1.94572  0 0 0 0.0772413 0 0 
-1.94342  0 0 0 0.0776776 0 0 
-1.94112  0 0 0 0.078115 0 0 
-1.93882  0 0 0 0.0785541 0 0 
-1.93652  0 0 0 0.0789956 0 0 
-1.93422  0 0 0 0.0794398 0 0 
-1.93192  0 0 0 0.0798873 0 0 
-1.92962  0 0 0 0.0803386 0 0 
-1.92732  0 0 0 0.0807943 0 0 
-1.92501  0 0 0 0.0812549 0 0 
-1.92271  0 0 0 0.0817211 0 0 
-1.92041  0 0 0 0.0821932 0 0 
-1.91811  0 0 0 0.0826719 0 0 
-1.91581  0 0 0 0.0831578 0 0 
-1.91351  0 0 0 0.0836515 0 0 
-1.91121  0 0 0 0.0841534 0 0 
-1.90891  0 0 0 0.0846643 0 0 
-1.90661  0 0 0 0.0851846 0 0 
-1.9043  0 0 0 0.0857144 0 0 
-1.902  0 0 0 0.0862529 0 0 
-1.8997  0 0 0 0.0867997 0 0 
-1.8974  0 0 0 0.0873538 0 0 
-1.8951  0 0 0 0.0879148 0 0 
-1.8928  0 0 0 0.088482 0 0 
-1.8905  0 0 0 0.0890545 0 0 
-1.8882  0 0 0 0.0896318 0 0 
-1.8859  0 0 0 0.0902131 0 0 
-1.8836  0 0 0 0.0907978 0 0 
-1.88129  0 0 0 0.091385 0 0 
-1.87899  0 0 0 0.0919742 0 0 
-1.87669  0 0 0 0.0925645 0 0 
-1.87439  0 0 0 0.0931552 0 0 
-1.87209  0 0 0 0.0937456 0 0 
-1.86979  0 0 0 0.0943349 0 0 
-1.86749  0 0 0 0.0949223 0 0 
-1.86519  0 0 0 0.0955071 0 0 
-1.86289  0 0 0 0.0960884 0 0 
-1.86059  0 0 0 0.0966656 0 0 
-1.85828  0 0 0 0.0972381 0 0 
-1.85598  0 0 0 0.0978066 0 0 
-1.85368  0 0 0 0.0983716 0 0 
-1.85138  0 0 0 0.0989339 0 0 
-1.84908  0 0 0 0.0994942 0 0 
-1.84678  0 0 0 0.100053 0 0 
-1.84448  0 0 0 0.100612 0 0 
-1.84218  0 0 0 0.10117 0 0 
-1.83988  0 0 0 0.101729 0 0 
-1.83757  0 0 0 0.10229 0 0 
-1.83527  0 0 0 0.102853 0 0 
-1.83297  0 0 0 0.103419 0 0 
-1.83067  0 0 0 0.103989 0 0 
-1.82837  0 0 0 0.104564 0 0 
-1.82607  0 0 0 0.105143 0 0 
-1.82377  0 0 0 0.105729 0 0 
-1.82147  0 0 0 0.106322 0 0 
-1.81917  0 0 0 0.106922 0 0 
-1.81687  0 0 0 0.107531 0 0 
